date,trump_percentage,kamala_percentage
1/16/23,38.8,37.5
1/18/22,50.333333333333336,40.0
1/19/23,44.666666666666664,40.0
1/20/22,47.5,39.0
1/24/23,46.333333333333336,40.0
1/24/24,43.42857142857143,39.0
1/29/23,39.6,36.5
1/31/24,45.0,42.0
1/9/22,39.75,39.0
10/1/24,46.50909090909091,49.10909090909092
10/10/24,46.916296296296295,48.57925925925926
10/11/22,41.75,54.0
10/11/24,47.55555555555556,49.544444444444444
10/12/22,41.0,37.5
10/12/24,39.0,53.5
10/13/22,46.0,39.5
10/13/24,45.41428571428571,48.371428571428574
10/14/24,46.56666666666666,49.06296296296296
10/15/24,46.5,48.78125
10/16/24,48.84090909090909,46.65
10/17/22,46.6,42.0
10/17/24,46.94772727272727,50.03863636363636
10/18/21,49.0,46.0
10/18/23,44.0,41.333333333333336
10/18/24,47.65555555555555,46.80555555555556
10/19/24,51.385714285714286,44.271428571428565
10/2/24,46.523809523809526,47.642857142857146
10/20/24,48.10173913043478,47.59021739130435
10/21/24,45.872727272727275,47.00909090909091
10/22/24,48.03181818181818,47.70681818181818
10/23/24,45.79545454545455,48.36086956521739
10/24/23,43.6,42.0
10/24/24,46.78235294117647,48.56470588235294
10/25/24,48.402702702702705,48.545945945945945
10/26/23,44.92857142857143,44.0
10/26/24,48.40416666666667,46.20416666666667
10/27/24,47.61764705882353,47.92352941176471
10/28/21,46.0,40.0
10/28/24,49.114814814814814,46.8
10/29/24,48.21702127659574,48.240425531914894
10/3/22,37.5,39.5
10/3/24,48.357142857142854,47.5
10/30/24,46.18604651162791,49.55813953488372
10/31/24,48.3716049382716,48.00617283950617
10/4/24,46.122727272727275,46.81363636363637
10/5/24,39.46666666666667,57.0
10/6/24,49.07,46.03058823529412
10/7/24,48.05555555555556,46.40833333333333
10/8/24,49.15625,45.97083333333333
10/9/24,48.22727272727273,47.48181818181818
11/1/24,46.96170212765957,48.729787234042554
11/11/23,41.825,31.5
11/13/23,44.18888888888889,45.0
11/14/23,39.72222222222222,47.2
11/15/21,41.5,33.0
11/16/21,50.57142857142857,42.0
11/16/23,45.375,41.333333333333336
11/17/22,43.0,40.5
11/2/22,44.5,37.5
11/2/24,47.6906976744186,48.26162790697674
11/20/23,43.5,40.0
11/3/23,43.032558139534885,44.25
11/3/24,46.71315789473684,49.078947368421055
11/4/24,50.44428571428572,46.90857142857143
12/12/21,47.75,46.0
12/14/22,44.8,42.0
12/15/22,44.0,40.0
12/19/23,42.0,42.0
12/2/21,48.666666666666664,41.5
12/5/21,39.0,36.5
12/5/22,39.42857142857143,38.5
2/11/23,44.4,47.0
2/12/23,42.666666666666664,42.0
2/14/24,43.622727272727275,42.7
2/16/23,45.333333333333336,39.5
2/16/24,47.7375,40.46666666666667
2/19/23,40.25,39.0
2/19/24,45.0,39.599999999999994
2/22/22,50.125,43.0
2/23/22,37.2,38.0
2/23/23,45.25,43.0
2/24/22,46.55666666666667,40.0
2/24/24,44.300000000000004,43.6
2/27/23,42.8,41.0
2/28/24,44.86666666666667,41.5
2/6/22,40.0,38.0
2/9/22,44.0,46.0
3/11/24,48.573913043478264,38.0
3/14/24,44.92857142857143,41.0
3/20/22,40.18,37.0
3/20/23,40.4,38.333333333333336
3/22/22,50.0,42.0
3/23/23,44.666666666666664,38.0
3/24/22,44.275,39.0
3/25/24,43.81818181818182,45.0
3/8/22,42.18,34.5
3/9/22,45.666666666666664,43.0
4/16/24,45.63157894736842,43.0
4/18/22,44.0,39.0
4/19/23,44.25,39.5
4/20/22,45.25,43.0
4/21/22,46.0,41.5
4/22/24,44.083333333333336,39.0
4/23/23,42.81666666666666,40.125
4/24/23,38.5,37.5
4/26/22,48.480000000000004,41.0
4/27/22,46.0,49.0
4/3/22,40.5,33.5
4/4/23,41.8,34.5
5/1/22,39.75,37.5
5/12/24,46.8125,42.0
5/13/24,44.93103448275862,42.5
5/15/24,44.44444444444444,41.0
5/17/22,39.75,35.0
5/17/23,42.0,38.75
5/18/21,49.0,45.0
5/18/23,47.78333333333333,40.666666666666664
5/19/22,46.0,40.5
5/30/22,41.5,38.0
5/31/23,40.142857142857146,40.0
6/11/23,40.6,38.0
6/15/22,36.6,35.0
6/15/23,44.5,40.0
6/20/21,49.0,45.0
6/22/21,40.0,46.0
6/22/22,49.5,42.0
6/24/24,42.90588235294118,42.0
6/25/23,38.5,38.5
6/27/22,41.833333333333336,42.75
6/28/24,45.233333333333334,45.0
6/30/22,44.0,39.0
6/30/24,44.87407407407407,42.5
7/1/24,48.64705882352941,45.0
7/10/24,45.85,48.333333333333336
7/11/24,46.411764705882355,44.55555555555556
7/12/24,45.125,45.333333333333336
7/13/24,43.22692307692308,42.54545454545455
7/14/24,38.94,38.825
7/15/24,45.45151515151515,42.291666666666664
7/16/24,45.59268292682927,41.60909090909091
7/17/24,44.33571428571429,44.5
7/18/22,43.75,44.25
7/18/24,45.343999999999994,45.980000000000004
7/2/24,42.63055555555556,40.0
7/20/23,44.666666666666664,38.5
7/20/24,47.125,42.0
7/21/24,47.23823529411764,42.84615384615385
7/22/24,43.84285714285714,45.5
7/23/24,45.81428571428572,44.68421052631579
7/24/23,43.5,40.0
7/24/24,45.19767441860465,43.88387096774194
7/25/24,44.4448275862069,47.61071428571428
7/26/24,45.84285714285714,47.3
7/27/24,44.0,47.125
7/28/22,41.0,37.75
7/28/24,46.00857142857143,46.33142857142857
