Date,Open,High,Low,Close,Volume
11/05/2024,"7.66","7.87","7.64","7.74","3,963,363"
11/04/2024,"8.05","8.12","7.55","7.58","6,961,654"
11/01/2024,"7.83","8.15","7.71","8.11","6,963,302"
10/31/2024,"8.02","8.02","7.41","7.80","8,348,313"
10/30/2024,"8.22","8.52","7.85","7.86","11,187,860"
10/29/2024,"8.23","8.40","8.06","8.32","6,708,293"
10/28/2024,"8.02","8.66","7.94","8.22","14,217,500"
10/25/2024,"7.97","8.23","7.85","7.99","7,581,020"
10/24/2024,"8.05","8.48","7.76","7.92","11,110,310"
10/23/2024,"8.52","8.74","7.92","8.07","11,720,710"
10/22/2024,"8.05","8.76","7.93","8.58","13,854,320"
10/21/2024,"8.28","8.40","7.74","8.01","9,025,269"
10/18/2024,"8.39","8.68","8.22","8.24","8,094,909"
10/17/2024,"8.30","8.55","7.95","8.35","8,428,962"
10/16/2024,"8.06","8.71","8.06","8.37","14,139,420"
10/15/2024,"7.76","8.19","7.50","8.08","9,611,082"
10/14/2024,"7.61","8.00","7.43","7.82","8,800,268"
10/11/2024,"7.17","7.70","7.07","7.61","10,301,600"
10/10/2024,"7.20","7.34","7.00","7.23","5,932,202"
10/09/2024,"7.26","7.38","6.70","7.12","10,364,730"
10/08/2024,"7.32","8.01","7.22","7.39","13,694,500"
10/07/2024,"7.64","7.64","7.22","7.36","6,006,709"
10/04/2024,"7.35","7.75","7.20","7.62","10,056,940"
10/03/2024,"7.33","7.62","7.08","7.15","7,240,949"
10/02/2024,"7.52","7.63","7.22","7.35","9,329,176"
10/01/2024,"8.07","8.22","7.54","7.57","11,157,410"
09/30/2024,"8.61","8.75","7.92","8.05","15,748,840"
09/27/2024,"7.99","8.98","7.98","8.78","23,886,770"
09/26/2024,"7.90","8.23","7.72","7.98","13,828,370"
09/25/2024,"7.63","8.17","7.57","7.99","16,363,620"
09/24/2024,"7.82","8.33","7.51","7.64","17,490,840"
09/23/2024,"9.01","9.02","8.00","8.03","27,845,619"
09/20/2024,"9.12","9.85","8.65","9.15","59,291,910"
09/19/2024,"7.70","9.54","7.37","9.28","89,593,586"
09/18/2024,"8.38","8.95","7.44","7.47","141,864,609"
09/17/2024,"5.78","5.87","5.34","5.40","25,959,391"
09/16/2024,"6.09","6.26","5.70","5.72","7,957,820"
09/13/2024,"5.66","6.17","5.52","6.13","10,581,910"
09/12/2024,"5.65","6.31","5.51","5.70","19,070,971"
09/11/2024,"5.78","5.81","5.42","5.63","5,922,336"
09/10/2024,"5.51","5.85","5.47","5.81","8,433,502"
09/09/2024,"5.01","5.59","4.95","5.52","10,252,480"
09/06/2024,"5.08","5.15","4.72","5.04","7,012,085"
09/05/2024,"5.26","5.34","5.03","5.10","7,502,041"
09/04/2024,"5.18","5.69","5.07","5.28","13,492,010"
09/03/2024,"4.96","5.33","4.76","5.20","11,835,400"
08/30/2024,"5.95","6.00","4.94","4.97","48,433,738"
08/29/2024,"4.77","5.18","4.76","4.82","10,857,520"
08/28/2024,"4.82","4.82","4.50","4.67","4,923,169"
08/27/2024,"5.09","5.18","4.86","4.88","4,456,783"
08/26/2024,"5.28","5.75","4.85","5.25","11,863,320"
08/23/2024,"5.17","5.53","4.95","5.24","8,213,941"
08/22/2024,"5.63","5.72","5.04","5.32","9,658,347"
08/21/2024,"5.51","5.78","4.91","5.38","25,443,779"
08/20/2024,"4.99","6.12","4.51","5.67","99,635,875"
08/19/2024,"4.05","4.30","4.01","4.25","4,209,956"
08/16/2024,"4.06","4.35","3.92","3.96","5,009,945"
08/15/2024,"3.65","4.11","3.63","4.06","4,757,593"
08/14/2024,"3.61","3.68","3.52","3.59","1,393,084"
08/13/2024,"3.80","3.85","3.40","3.67","3,144,969"
08/12/2024,"3.71","3.80","3.57","3.72","3,222,218"
08/09/2024,"3.67","3.78","3.59","3.62","1,555,677"
08/08/2024,"3.46","3.72","3.45","3.64","1,852,066"
08/07/2024,"3.59","3.63","3.38","3.43","2,090,998"
08/06/2024,"3.50","3.52","3.29","3.50","1,748,926"
08/05/2024,"3.23","3.43","3.15","3.34","3,422,395"
08/02/2024,"3.59","3.64","3.42","3.54","3,048,622"
08/01/2024,"4.07","4.10","3.70","3.78","2,487,952"
07/31/2024,"3.87","4.18","3.83","3.98","1,891,351"
07/30/2024,"4.12","4.16","3.82","3.86","2,978,754"
07/29/2024,"4.43","4.44","4.13","4.16","1,581,610"
07/26/2024,"4.39","4.51","4.28","4.41","1,737,394"
07/25/2024,"4.15","4.37","4.15","4.33","1,928,006"
07/24/2024,"4.17","4.33","4.15","4.19","1,233,447"
07/23/2024,"4.20","4.36","4.15","4.25","1,690,105"
07/22/2024,"4.22","4.28","4.11","4.21","1,293,865"
07/19/2024,"4.06","4.32","4.00","4.21","2,047,902"
07/18/2024,"4.20","4.40","4.03","4.05","3,398,922"
07/17/2024,"4.42","4.48","4.12","4.20","3,003,987"
07/16/2024,"4.40","4.58","4.36","4.50","2,518,571"
07/15/2024,"4.25","4.33","4.05","4.33","2,352,967"
07/12/2024,"4.27","4.44","4.18","4.19","4,044,891"
07/11/2024,"4.00","4.38","3.97","4.19","7,228,732"
07/10/2024,"3.80","3.96","3.76","3.92","2,570,946"
07/09/2024,"3.75","3.85","3.67","3.78","2,108,909"
07/08/2024,"3.62","3.96","3.61","3.67","3,777,467"
07/05/2024,"3.70","3.74","3.50","3.59","2,470,606"
07/03/2024,"3.93","4.01","3.60","3.65","3,560,068"
07/02/2024,"3.53","4.00","3.48","3.86","5,482,427"
07/01/2024,"3.31","3.52","3.26","3.49","3,031,204"
06/28/2024,"3.72","3.98","3.24","3.30","12,826,680"
06/27/2024,"3.50","3.58","3.46","3.54","1,902,678"
06/26/2024,"3.51","3.53","3.43","3.48","2,299,912"
06/25/2024,"3.61","3.61","3.44","3.57","2,349,378"
06/24/2024,"3.69","3.73","3.57","3.61","2,716,193"
06/21/2024,"3.70","3.71","3.61","3.66","3,330,263"
